urba_club_id,nombre_institucion,nombre_equipo,sufijo,categoria,divisiones,anios,veces,g22_club_id,g22_nombre,g22_union,estado,confianza
13,La Plata,La Plata,,femenino,FEMENINO - TOP 9 | Femenino - Campeonato 12 | Femenino - Campeonato 12 - Clasificación | Femenino - Campeonato 12 - Revancha | Femenino - Campeonato 12 - Zona A | Femenino - Ten - Zona A | Femenino - Top 4 | Femenino - Top 7 | Femenino - Zona Campeonato - Segunda Rueda,2021 2022 2023 2024 2025 2026,9,la-plata,La Plata,urba,existe,exacto
64,La Salle,La Salle Rugby y Hockey Club,,femenino,FEMENINO - TOP 9 | Femenino - Campeonato 12 | Femenino - Campeonato 12 - Zona A | Femenino - Desarrollo | Femenino - Primera  B | Femenino - SEVEN - Campeonato - Segunda Rueda | Femenino - Seven - Zona A | Femenino - Ten | Femenino - Ten - Primera rueda,2021 2022 2023 2024 2025 2026,9,,,,club_no_existe,ninguna
51,Lanus,Lanus,,femenino,FEMENINO - TOP 9 | Femenino - Campeonato 12 | Femenino - Campeonato 12 - Clasificación | Femenino - Campeonato 12 - Revancha | Femenino - Campeonato 12 - Zona B | Femenino - Intermedia | Femenino - Ten - Zona A | Femenino - Top 7 | Femenino - Zona Campeonato - Segunda Rueda,2021 2022 2023 2024 2025 2026,9,lanus-r-c,Lanús R.C.,urba,existe,exacto
208,Lomas Social,Lomas Social,,femenino,Femenino - Ten | Femenino - Ten - Primera rueda | Femenino - Ten - Revancha | Femenino - Ten - Segunda rueda,2022 2023,4,,,,club_no_existe,ninguna
26,Los Tilos,Los Tilos,,femenino,FEMENINO - Segunda División,2026,1,los-tilos,Los Tilos,urba,existe,exacto
124,Manzanares R.C.,Manzanares,,femenino,Femenino - Seven - Clasificación | Femenino - Seven - Revancha A | Femenino - Ten - Zona B | Femenino - Ten - Zona Campeonato - Segunda Rueda,2021 2022,4,,,,club_no_existe,ninguna
82,Marcos Paz,Marcos Paz,,femenino,FEMENINO - Primera División | Femenino - Campeonato 12 | Femenino - Primera  B | Femenino - SEVEN - Campeonato - Segunda Rueda | Femenino - Ten | Femenino - Ten - Primera rueda | Femenino - Ten - Revancha | Femenino - Ten - Segunda rueda | Femenino - Ten - Zona B,2021 2022 2023 2024 2025 2026,9,,,,club_no_existe,ninguna
123,Municipalidad de Avellaneda,Munic de Avellaneda,,femenino,FEMENINO - Primera División | Femenino - Campeonato 12 - Zona A | Femenino - Desarrollo | Femenino - Primera  B | Femenino - SEVEN - Desarrollo - Segunda Rueda | Femenino - Seven - Clasificación | Femenino - Seven - Revancha B | Femenino - Seven - Zona B | Femenino - Ten - Primera rueda,2021 2022 2023 2025 2026,9,,,,club_no_existe,ninguna
91,Municipalidad de Berazategui,Municipalidad De Berazategui,,femenino,FEMENINO - Primera División | Femenino - Primera  B | Femenino - Ten | Femenino - Ten - Zona B | Femenino - Ten - Zona Campeonato - Segunda Rueda,2021 2022 2025 2026,5,,,,club_no_existe,ninguna
93,Municipio de Avellaneda,Munic. de Avellaneda,,femenino,Femenino - Campeonato 12,2024,1,,,,club_no_existe,ninguna
85,Pac General Rodriguez,Pac. General Rodriguez,,femenino,FEMENINO - Segunda División,2026,1,,,,club_no_existe,ninguna
70,Porteño,Porteño,,femenino,Femenino - Campeonato 12 | Femenino - Campeonato 12 - Zona B | Femenino - Desarrollo | Femenino - Ten | Femenino - Ten - Primera rueda | Femenino - Ten - Zona A | Femenino - Top 7 | Femenino - Zona Desarrollo - Segunda Rueda,2021 2022 2023 2024 2025,8,,,,club_no_existe,ninguna
57,San Marcos,San Marcos,,femenino,FEMENINO - Primera División,2026,1,,,,club_no_existe,ninguna
56,San Miguel,San Miguel,,femenino,FEMENINO - Segunda División | Femenino - SEVEN - Desarrollo - Segunda Rueda | Femenino - Seven - Zona A,2021 2026,3,san-miguel-r-c,San Miguel R.C.,urba,existe,exacto
