prioridad,tipo,urba_club_id,nombre,categoria,sufijo,union_id,sport,logo_url,id_sugerido,institucion_padre_urba_id,anios,veces,motivo
1,institucion,47,Mercedes,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/mercedes.png,mercedes,,2021 2022 2023 2024 2025 2026,33,no existe en el padrón
1,institucion,115,Ministerio de Seguridad CABA,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/ministeriodeseguridadcaba.png,ministerio-de-seguridad-caba,,2024,2,no existe en el padrón
1,institucion,123,Municipalidad de Avellaneda,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/municipalidaddeavellaneda.png,municipalidad-de-avellaneda,,2021 2022 2023 2024 2025 2026,17,no existe en el padrón
1,institucion,91,Municipalidad de Berazategui,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/municipalidaddeberazategui.png,municipalidad-de-berazategui,,2021 2022 2023 2024 2025 2026,49,no existe en el padrón
1,institucion,119,Municipalidad de Moreno,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/municipalidaddemoreno.png,municipalidad-de-moreno,,2023 2024 2025,6,no existe en el padrón
1,institucion,93,Municipio de Avellaneda,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/municipiodeavellaneda.png,municipio-de-avellaneda,,2024 2025,2,no existe en el padrón
1,institucion,120,New Lions R.C.,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/newlions.png,new-lions-r-c,,2024 2025 2026,5,no existe en el padrón
1,institucion,90,Obras Sanitarias,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/obrassanitarias.png,obras-sanitarias,,2021 2022 2023 2024 2025 2026,16,no existe en el padrón
1,institucion,128,Old Bankers,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/oldbankers.png,old-bankers,,2025 2026,3,no existe en el padrón
1,institucion,66,Old Georgian,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/oldgeorgian.png,old-georgian,,2021 2022 2023 2024 2025 2026,51,no existe en el padrón
