urba_id,external_id,nombre,anio,division,grado,age_grade,gender,rueda,equipos,partidos,partidos_jugados,has_playoffs,g22_tournament_id,g22_nombre,g22_external_id_otro_proveedor,estado,confianza
2021079,urba:2021079,Menores de 18 - Grupo 2 - Zona A - Equipos B - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,8,26,26,no,,,,sin_verificar,sin_verificar
2021080,urba:2021080,Menores de 18 - Grupo 2 - Zona B - Primera Rueda,2021,otro,juvenil,M18,masculino,primera,7,21,21,no,,,,sin_verificar,sin_verificar
2021081,urba:2021081,Menores de 18 - Grupo 2 - Zona B - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,8,27,27,no,,,,sin_verificar,sin_verificar
2021082,urba:2021082,Menores de 18 - Grupo 2 - Zona B - Equipos B - Primera Rueda,2021,otro,juvenil,M18,masculino,primera,7,21,21,no,,,,sin_verificar,sin_verificar
2021083,urba:2021083,Menores de 18 - Grupo 2 - Zona B - Equipos B - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,8,25,25,no,,,,sin_verificar,sin_verificar
2021084,urba:2021084,Menores de 18 - Grupo 2 - Zona C - Primera Rueda,2021,otro,juvenil,M18,masculino,primera,10,35,35,no,,,,sin_verificar,sin_verificar
2021085,urba:2021085,Menores de 18 - Grupo 2 - Zona C - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,8,28,28,no,,,,sin_verificar,sin_verificar
2021086,urba:2021086,Menores de 18 - Grupo 2 - Zona C - Equipos B - Primera Rueda,2021,otro,juvenil,M18,masculino,primera,10,35,35,no,,,,sin_verificar,sin_verificar
2021087,urba:2021087,Menores de 18 - Grupo 2 - Zona C - Equipos B - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,8,27,27,no,,,,sin_verificar,sin_verificar
2021088,urba:2021088,Menores de 18 - Grupo 2 - Zona D - Primera Rueda,2021,otro,juvenil,M18,masculino,primera,9,28,28,no,,,,sin_verificar,sin_verificar
2021089,urba:2021089,Menores de 18 - Grupo 2 - Zona D - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,8,28,28,no,,,,sin_verificar,sin_verificar
2021090,urba:2021090,Menores de 18 - Grupo 2 - Zona D - Equipos B - Primera Rueda,2021,otro,juvenil,M18,masculino,primera,9,28,28,no,,,,sin_verificar,sin_verificar
2021091,urba:2021091,Menores de 18 - Grupo 2 - Zona D - Equipos B - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,8,28,28,no,,,,sin_verificar,sin_verificar
2021092,urba:2021092,Menores de 18 - Grupo 2 - Zona E - Primera Rueda,2021,otro,juvenil,M18,masculino,primera,17,35,35,no,,,,sin_verificar,sin_verificar
2021093,urba:2021093,Menores de 18 - Grupo 2 - Zona E - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,8,28,28,no,,,,sin_verificar,sin_verificar
2021094,urba:2021094,Menores de 18 - Grupo 2 - Zona E - Equipos B - Primera Rueda,2021,otro,juvenil,M18,masculino,primera,7,1,1,no,,,,sin_verificar,sin_verificar
2021095,urba:2021095,Menores de 18 - Grupo 2 - Zona E - Equipos B - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,8,27,27,no,,,,sin_verificar,sin_verificar
2021096,urba:2021096,Menores de 18 - Grupo 2 - Zona F - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,7,21,21,no,,,,sin_verificar,sin_verificar
2021097,urba:2021097,Menores de 18 - Grupo 2 - Zona F - Equipos B - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,7,21,21,no,,,,sin_verificar,sin_verificar
2021098,urba:2021098,Menores de 20 - Grupo 1 - Zona A - Primera Rueda,2021,otro,juvenil,M20,masculino,primera,7,21,21,no,,,,sin_verificar,sin_verificar
2021099,urba:2021099,Menores de 20 - Grupo 1 - Zona A - Segunda Rueda,2021,otro,juvenil,M20,masculino,segunda,11,35,35,no,,,,sin_verificar,sin_verificar
2021100,urba:2021100,Menores de 20 - Grupo 1 - Zona B,2021,otro,juvenil,M20,masculino,unica,6,15,15,no,,,,sin_verificar,sin_verificar
2021101,urba:2021101,Menores de 20 - Grupo 1 - Zona C,2021,otro,juvenil,M20,masculino,unica,5,10,10,no,,,,sin_verificar,sin_verificar
2021102,urba:2021102,Menores de 20 - Grupo 2 - Zona A - Primera Rueda,2021,otro,juvenil,M20,masculino,primera,8,28,28,no,,,,sin_verificar,sin_verificar
2021103,urba:2021103,Menores de 20 - Grupo 2 - Zona A - Segunda Rueda,2021,otro,juvenil,M20,masculino,segunda,8,28,28,no,,,,sin_verificar,sin_verificar
2021104,urba:2021104,Menores de 20 - Grupo 2 - Zona A - Equipos B - Primera Rueda,2021,otro,juvenil,M20,masculino,primera,8,28,28,no,,,,sin_verificar,sin_verificar
2021105,urba:2021105,Menores de 20 - Grupo 2 - Zona A - Equipos B - Segunda Rueda,2021,otro,juvenil,M20,masculino,segunda,8,27,27,no,,,,sin_verificar,sin_verificar
2021106,urba:2021106,Menores de 20 - Grupo 2 - Zona B - Primera Rueda,2021,otro,juvenil,M20,masculino,primera,8,28,28,no,,,,sin_verificar,sin_verificar
2021107,urba:2021107,Menores de 20 - Grupo 2 - Zona B - Segunda Rueda,2021,otro,juvenil,M20,masculino,segunda,8,28,28,no,,,,sin_verificar,sin_verificar
2021108,urba:2021108,Menores de 20 - Grupo 2 - Zona B - Equipos B - Primera Rueda,2021,otro,juvenil,M20,masculino,primera,8,28,28,no,,,,sin_verificar,sin_verificar
2021109,urba:2021109,Menores de 20 - Grupo 2 - Zona B - Equipos B - Segunda Rueda,2021,otro,juvenil,M20,masculino,segunda,8,24,24,no,,,,sin_verificar,sin_verificar
2021110,urba:2021110,Menores de 20 - Grupo 2 - Zona C - Primera Rueda,2021,otro,juvenil,M20,masculino,primera,7,21,21,no,,,,sin_verificar,sin_verificar
2021111,urba:2021111,Menores de 20 - Grupo 2 - Zona C - Segunda Rueda,2021,otro,juvenil,M20,masculino,segunda,8,28,28,no,,,,sin_verificar,sin_verificar
2021112,urba:2021112,Menores de 20 - Grupo 2 - Zona C - Equipos B - Primera Rueda,2021,otro,juvenil,M20,masculino,primera,7,21,21,no,,,,sin_verificar,sin_verificar
2021113,urba:2021113,Menores de 20 - Grupo 2 - Zona C - Equipos B - Segunda Rueda,2021,otro,juvenil,M20,masculino,segunda,8,27,27,no,,,,sin_verificar,sin_verificar
