provider,external_id,club_id_sugerido,urba_club_id,categoria,sufijo,confidence,nivel,etapa_que_lo_crea,urba_institucion,urba_nombre_equipo,anios,veces
urba,59|intermedia|,g-y-e-de-ituzaingo,59,intermedia,"",exacto,institucion,1,G y E de Ituzaingo,G y E de Ituzaingo,2022 2023 2024 2025 2026,5
urba,59|mayores|,g-y-e-de-ituzaingo,59,mayores,"",exacto,institucion,1,G y E de Ituzaingo,G y E de Ituzaingo,2021 2022 2023 2024 2025 2026,8
urba,59|preintermedia|,g-y-e-de-ituzaingo,59,preintermedia,"",exacto,institucion,1,G y E de Ituzaingo,G y E de Ituzaingo,2026,1
urba,206|femenino|,guernica,206,femenino,"",exacto,institucion,1,Guernica,Guernica,2021 2022,3
urba,133|formativo|,handoff-rugby,133,formativo,"",exacto,institucion,1,Handoff Rugby,Handoff Rugby,2025 2026,3
urba,110|formativo|,ivem,110,formativo,"",exacto,institucion,1,Ivem,IVEM (Picapiedras),2024,2
urba,64|femenino|,la-salle,64,femenino,"",exacto,institucion,1,La Salle,La Salle Rugby y Hockey Club,2021 2022 2023 2024 2025 2026,9
urba,64|intermedia|,la-salle,64,intermedia,"",exacto,institucion,1,La Salle,La Salle,2022 2023 2024 2025 2026,5
urba,64|mayores|,la-salle,64,mayores,"",exacto,institucion,1,La Salle,La Salle Rugby y Hockey Club,2021 2022 2023 2024 2025 2026,6
urba,73|intermedia|,las-canas,73,intermedia,"",exacto,institucion,1,Las Cañas,Las Cañas,2022 2023 2024 2025 2026,5
urba,73|mayores|,las-canas,73,mayores,"",exacto,institucion,1,Las Cañas,Las Cañas,2021 2022 2023 2024 2025 2026,6
urba,207|empresarial|,laz-spare-parts,207,empresarial,"",exacto,institucion,1,Laz Spare Parts,Laz Spare Parts,2023,2
urba,208|femenino|,lomas-social,208,femenino,"",exacto,institucion,1,Lomas Social,Lomas Social,2022 2023,4
urba,208|formativo|,lomas-social,208,formativo,"",exacto,institucion,1,Lomas Social,Lomas Social,2026,1
urba,78|intermedia|,los-cedros,78,intermedia,"",exacto,institucion,1,Los Cedros,Los Cedros,2022 2023 2024 2025 2026,5
urba,78|mayores|,los-cedros,78,mayores,"",exacto,institucion,1,Los Cedros,Los Cedros,2021 2022 2023 2024 2025 2026,7
urba,79|intermedia|,los-pinos,79,intermedia,"",exacto,institucion,1,Los Pinos,Los Pinos,2021 2022 2023 2024 2025 2026,6
urba,79|mayores|,los-pinos,79,mayores,"",exacto,institucion,1,Los Pinos,Los Pinos,2021 2022 2023 2024 2025 2026,6
urba,113|formativo|,malvinas-argentinas,113,formativo,"",exacto,institucion,1,Malvinas Argentinas,Malvinas Argentinas,2024 2025 2026,5
urba,124|empresarial|,manzanares-r-c,124,empresarial,"",exacto,institucion,1,Manzanares R.C.,Manzanares,2023,1
